year,iso3,people
2001,AUT,1049
2002,AUT,1270
2003,AUT,1595
2004,AUT,2482
2005,AUT,2991
2006,AUT,5239
2007,AUT,5735
2008,AUT,7403
2009,AUT,9209
2010,AUT,10055
2011,AUT,13212
2012,AUT,16361
2013,AUT,18154
2014,AUT,14793
2015,AUT,41725
2016,AUT,50003
2017,AUT,51172
2018,AUT,49196
2019,AUT,57928
2020,AUT,53042
2021,AUT,53885
2022,AUT,60120
2023,AUT,133814
2024,AUT,147016
2001,CHE,5027
2002,CHE,4403
2003,CHE,2764
2004,CHE,4191
2005,CHE,4041
2006,CHE,3641
2007,CHE,4741
2008,CHE,5763
2009,CHE,6876
2010,CHE,7804
2011,CHE,9777
2012,CHE,12282
2013,CHE,13436
2014,CHE,13977
2015,CHE,34606
2016,CHE,39091
2017,CHE,39730
2018,CHE,39996
2019,CHE,38607
2020,CHE,40225
2021,CHE,42488
2022,CHE,53202
2023,CHE,63876
2024,CHE,62641
2001,DEU,10057
2002,DEU,64363
2003,DEU,49504
2004,DEU,39081
2005,DEU,36136
2006,DEU,25878
2007,DEU,26459
2008,DEU,26837
2009,DEU,102633
2010,DEU,112284
2011,DEU,124536
2012,DEU,138309
2013,DEU,121053
2014,DEU,140511
2015,DEU,217884
2016,DEU,518442
2017,DEU,575118
2018,DEU,575568
2019,DEU,563127
2020,DEU,543016
2021,DEU,608458
2022,DEU,646477
2023,DEU,898852
2024,DEU,972269
2001,FRA,2568
2002,FRA,2512
2003,FRA,2334
2004,FRA,1220
2005,FRA,2456
2006,FRA,2476
2007,FRA,2546
2008,FRA,2690
2009,FRA,1567
2010,FRA,3580
2011,FRA,4240
2012,FRA,5775
2013,FRA,7027
2014,FRA,8100
2015,FRA,10904
2016,FRA,19550
2017,FRA,31164
2018,FRA,45153
2019,FRA,59641
2020,FRA,58666
2021,FRA,59484
2022,FRA,138142
2023,FRA,171689
2024,FRA,195454
2001,GBR,15065
2002,GBR,20305
2003,GBR,21718
2004,GBR,22494
2005,GBR,22532
2006,GBR,23069
2007,GBR,23565
2008,GBR,23079
2009,GBR,23658
2010,GBR,23406
2011,GBR,15826
2012,GBR,11107
2013,GBR,10596
2014,GBR,10948
2015,GBR,11890
2016,GBR,12545
2017,GBR,12205
2018,GBR,12277
2019,GBR,15293
2020,GBR,15805
2021,GBR,14585
2022,GBR,24321
2023,GBR,147901
2024,GBR,113971
2001,GRC,1751
2002,GRC,1284
2003,GRC,1479
2004,GRC,1790
2005,GRC,1858
2006,GRC,1665
2007,GRC,1235
2008,GRC,1700
2009,GRC,148
2010,GRC,4648
2011,GRC,208
2012,GRC,343
2013,GRC,4025
2014,GRC,2225
2015,GRC,5810
2016,GRC,15657
2017,GRC,11673
2018,GRC,22824
2019,GRC,72901
2020,GRC,60868
2021,GRC,46827
2022,GRC,41025
2023,GRC,134197
2024,GRC,87720
2001,IRN,4446000
2002,IRN,1104909
2003,IRN,2493221
2004,IRN,2858478
2005,IRN,2760912
2006,IRN,2744358
2007,IRN,1814076
2008,IRN,2811510
2009,IRN,3072636
2010,IRN,1032494
2011,IRN,841714
2012,IRN,880652
2013,IRN,869888
2014,IRN,1008475
2015,IRN,1007165
2016,IRN,1007087
2017,IRN,1007102
2018,IRN,1008914
2019,IRN,951142
2020,IRN,780000
2021,IRN,2334162
2022,IRN,10239747
2023,IRN,11256951
2024,IRN,10431246
2001,ITA,149
2002,ITA,183
2003,ITA,186
2004,ITA,242
2005,ITA,302
2006,ITA,473
2007,ITA,1138
2008,ITA,2315
2009,ITA,3039
2010,ITA,4273
2011,ITA,4291
2012,ITA,6220
2013,ITA,7681
2014,ITA,10769
2015,ITA,14893
2016,ITA,17959
2017,ITA,17493
2018,ITA,17766
2019,ITA,18689
2020,ITA,13435
2021,ITA,20311
2022,ITA,22203
2023,ITA,21153
2024,ITA,62637
2001,PAK,5215889
2002,PAK,3679707
2003,PAK,3383700
2004,PAK,3217654
2005,PAK,2171181
2006,PAK,2094241
2007,PAK,3810266
2008,PAK,3317625
2009,PAK,3263734
2010,PAK,5705364
2011,PAK,5110464
2012,PAK,4922880
2013,PAK,4863597
2014,PAK,4531116
2015,PAK,4700850
2016,PAK,4069821
2017,PAK,4187553
2018,PAK,4225599
2019,PAK,4282470
2020,PAK,4344300
2021,PAK,4403424
2022,PAK,5058009
2023,PAK,5674578
2024,PAK,5214072
2001,SWE,2732
2002,SWE,3713
2003,SWE,4302
2004,SWE,5075
2005,SWE,4963
2006,SWE,4869
2007,SWE,3235
2008,SWE,3550
2009,SWE,4698
2010,SWE,5858
2011,SWE,8824
2012,SWE,10807
2013,SWE,12197
2014,SWE,14353
2015,SWE,53678
2016,SWE,50775
2017,SWE,43457
2018,SWE,36818
2019,SWE,36576
2020,SWE,32643
2021,SWE,31210
2022,SWE,30301
2023,SWE,69219
2024,SWE,74805
2001,TUR,1239
2002,TUR,389
2003,TUR,381
2004,TUR,1182
2005,TUR,996
2006,TUR,1239
2007,TUR,2739
2008,TUR,9475
2009,TUR,8808
2010,TUR,10341
2011,TUR,15231
2012,TUR,34827
2013,TUR,45338
2014,TUR,103760
2015,TUR,282006
2016,TUR,354348
2017,TUR,490239
2018,TUR,514557
2019,TUR,350401
2020,TUR,379531
2021,TUR,406833
2022,TUR,397020
2023,TUR,118790
2024,TUR,83629
2001,USA,7756
2002,USA,9227
2003,USA,9821
2004,USA,9923
2005,USA,8931
2006,USA,13348
2007,USA,2438
2008,USA,2164
2009,USA,1771
2010,USA,1410
2011,USA,1210
2012,USA,1147
2013,USA,1309
2014,USA,1622
2015,USA,1970
2016,USA,2250
2017,USA,2374
2018,USA,2364
2019,USA,2356
2020,USA,2388
2021,USA,2861
2022,USA,22391
2023,USA,43759
2024,USA,57034
