year,REF_share,ASY_share,RET_share
2001,0.9932831089396934,0.004086863875026333,0.0026300271852802344
2002,0.5242376321979434,0.0035944993771166423,0.47216786842493996
2003,0.7806417410957769,0.004179186302186251,0.2151790726020369
2004,0.7169088366928713,0.002509087087539895,0.2805820762195888
2005,0.7386314177550127,0.002770911608740884,0.25859767063624645
2006,0.8763339727190007,0.004242125078669626,0.11942390220232971
2007,0.8345718499626397,0.0033849457938139463,0.16204320424354643
2008,0.8747148885234025,0.006909284070315256,0.11837582740628222
2009,0.9626629956789415,0.009636048628821371,0.027700955692237097
2010,0.9419740363488948,0.010060196692027285,0.047965766959077956
2011,0.9229182327813584,0.0122929383991317,0.0647888288195099
2012,0.9275324739239696,0.01952849369592165,0.052939032380108705
2013,0.9472985601238804,0.023573712355459523,0.029127727520660143
2014,0.9559583128634797,0.03546546005054502,0.008576227085975373
2015,0.8417338964297825,0.08076052168781618,0.07750558188240138
2016,0.7279447839034484,0.1203297399547391,0.15172547614181248
2017,0.8347657961404554,0.12516433111738776,0.04006987274215684
2018,0.8630374036686972,0.11922614310949796,0.017736453221804862
2019,0.8951964314044499,0.10109531344839501,0.0037082551471550548
2020,0.8984538316265854,0.10053064513349075,0.0010155232399238674
2021,0.7095424667811505,0.06640810409860942,0.2240494291202401
2022,0.9156780692904464,0.043215828160488245,0.04110610254906541
2023,0.9569660591094958,0.029439751720261618,0.013594189170242554
2024,0.8891837915262025,0.04966936795259194,0.06114684052120556
